HC11 Pin/Reg,Function (IC/OC/PA),QFP-64 Pin (needs more info) and references,ECU Connector,ECU Pin,Wire Colour i done this by hand by looking at snapon needs verifications with more cross references,Sensor/Actuator,Expected Signal,Test Method/Conditions,Status,Notes,ConfidenceLevel,ResolvableFrom,extravalidationsources,GM_Connector_Label,GM_Function_Name,Enhanced_Mod_Feature,PPK_Calibration,Verification_Sourceneeds more cross references to be more accurate another ,sources, second source, third source?
PA0/IC3,Crank 3X input (TIC3),20,C/D Pink 32-pin,B9,VIOLET,Crank position sensor REF HI,~3x pulses/rev 5V square wave,Scope while cranking - Arduino 75Hz=1500RPM,✅ CONFIRMED Topic 3641+8570,ISR at 0x180DB uses TIC3; Topic 3641: B9=REF HI (Violet); Topic 8570: 5V square wave Hz=(RPM/60)*3; S/C PCM D12=REF HI,HIGH,BOTH,"ISR 0x180DB-0x1815B; TIC3 vector 0xFFEA; PCMHacking Topic 3641 pinouts compaired.xlsx; Topic 8570 bench simulation; Topic 5204 JimStim C1=Crank+"
N/A,MAF Sensor (S/C D1),N/A,A/B Pink 24-pin,A7,BRN/WH,Mass Air Flow Sensor,Frequency 2048-32471 Hz,Scope during rev sweep,✅ Topic 3641 + Snap-on,Flash PCM A7=MAF maps to S/C PCM D1; Snap-on confirmed BRN/WH (Brown/White); MAF frequency input,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv A7; PCMHacking Topic 3641"
N/A,Connector pin A8,Unknown,A/B Pink 24-pin,A8,GRY,Unknown,Unknown,Needs scope test,⚠️ Snap-on confirmed,Snap-on confirmed GRY (Grey),HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv A8"
PC2,A/C Request Input,3,A/B Pink 24-pin,A9,GRN/BLA,A/C dash switch signal from HVAC module,12V when A/C ON + blower ON; 0V otherwise,Test with A/C switch + blower running,✅ CONFIRMED,PDF_EXTRACTION_CHECKLIST.md:337 confirms PC2=A9=A/C request; 12V input when dash A/C switch + fan ON; Snap-on wire color GRN/BLA (Green/Black); PCM reads PORTC bit 2,HIGH,BOTH,"PDF_EXTRACTION_CHECKLIST.md:337; SNAPON_PINOUT_COMPLETE.csv A9; Enhanced Mod Guide lists as C21 but actual physical pin is A9"
N/A,Canister Purge A/D (S/C C4),N/A,A/B Pink 24-pin,A10,GRN/Y,EVAP Canister Purge Control,PWM duty cycle,Test during warm cruise conditions,✅ Topic 3641 + Snap-on,Flash PCM A10=Canister Purge maps to S/C PCM C4; Snap-on confirmed GRN/Y (Green/Yellow); EVAP purge solenoid,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv A10; PCMHacking Topic 3641"
N/A,TCC PWM (S/C C15/C16),N/A,A/B Pink 24-pin,A11,BRN,Torque Converter Clutch PWM,PWM duty cycle control,Test during highway cruise (TCC apply),✅ Topic 3641 + Snap-on,Flash PCM A11=TCC PWM maps to S/C PCM C15/C16; Snap-on confirmed BRN (Brown); TCC apply/release control,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv A11; PCMHacking Topic 3641"
N/A,Connector pin B1,Unknown,A/B Pink 24-pin,B1,GRN,Unknown,Unknown,Needs scope test,⚠️ Snap-on confirmed,Snap-on confirmed GRN (Green),HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv B1"
N/A,Connector pin B2,Unknown,A/B Pink 24-pin,B2,UNUSED,Unknown,No signal expected,Pin empty,⚠️ UNUSED PIN,Snap-on confirmed UNUSED,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv B2; pin physically empty"
N/A,EST signal to DFI (B3),PA5/OC3,A/B Pink 24-pin,B3,WH,DFI module pin A (EST control),EST control signal (white wire),Test resistance under 500 ohms B3 to DFI pin A,✅ CONFIRMED,Snap-on manual H034 page 56: VX/VY V6 EST Check - PCM pin B3 (white) connects to DFI module pin A (white); resistance under 500 ohms normal; also see earlier B3 entry,HIGH,BOTH,"Snap-on Holden Engine Troubleshooter Manual H034 page 56; EST timing control circuit; XDF v2.09a spark timing tables; cross-ref with DFI 14-pin connector"
N/A,EST bypass to DFI (B4),PB4,A/B Pink 24-pin,B4,T/BLA,DFI module pin B (EST bypass),EST bypass signal (tan/black wire),Testlight should be OFF when DFI connected,✅ CONFIRMED,Snap-on manual H034 page 56: VX/VY V6 EST Check - PCM pin B4 (tan/black) connects to DFI module pin B (tan/black); testlight check should be off when DFI connected; enables timing control,HIGH,BOTH,"Snap-on Holden Engine Troubleshooter Manual H034 page 56; EST bypass/enable circuit; used for timing verification; cross-ref with DFI 14-pin connector"
N/A,Ground IAT (S/C E16),N/A,A/B Pink 24-pin,B5,BLA,IAT Sensor Ground,0V signal ground,Continuity to PCM grounds,✅ Topic 3641 + Snap-on,Flash PCM B5=GND IAT maps to S/C PCM E16; Snap-on confirmed BLA (Black); IAT sensor signal ground,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv B5; PCMHacking Topic 3641"
N/A,CAM Sensor (S/C D3),N/A,A/B Pink 24-pin,B6,BLA,Camshaft Position Sensor,1X Hall effect signal,Scope during cranking (1 pulse/cam rev),✅ Topic 3641 + Snap-on,Flash PCM B6=CAM maps to S/C PCM D3; Snap-on confirmed BLA (Black); Cam position for cyl 1 TDC,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv B6; PCMHacking Topic 3641"
N/A,18X Crank Reference (S/C D4),N/A,A/B Pink 24-pin,B7,BLU/BLA,18X High-Res Crank Reference,18 pulses per revolution,Scope during cranking (18 pulses/rev),✅ Topic 3641 + Snap-on,Flash PCM B7=18X Crank maps to S/C PCM D4; Snap-on confirmed BLU/BLA (Blue/Black); High-resolution crank input,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv B7; PCMHacking Topic 3641"
N/A,REF HI Crank (S/C D12),N/A,A/B Pink 24-pin,B9,PURPLE,Crank Sensor Reference High,VR sensor + signal,Scope crank sensor output,✅ Topic 3641 + Snap-on,Flash PCM B9=REF HI maps to S/C PCM D12; Snap-on confirmed PURPLE (Violet); Crank sensor positive reference,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv B9; PCMHacking Topic 3641"
N/A,Enhanced Input B10 (EEI),PE5/AN5,A/B Pink 24-pin,B10,BLA/RED,Enhanced Mod 0-5V auxiliary input,0-255 count range (wideband O2/MAP/fuel pressure),Use with Enhanced Mod bin for wideband AFR input,✅ CONFIRMED (Enhanced Mod only),PCMHacking Enhanced Mod Thread: Pin B10 enabled as 0-5V input (0-255 count range) for wideband O2/MAP/fuel pressure sensors; requires Enhanced Mod bin v1.0a+; can run 2 auxiliary sensors with A5+B10,HIGH,BOTH,"PCMHacking_Enhanced_Mod_Thread.md EEI section; B10=Extra ECU Input; works with WBAFRT feature; Snap-on confirmed BLA/RED (Black/Red)"
N/A,Connector pin B11,Unknown,A/B Pink 24-pin,B11,BLA/WH,Unknown,Unknown,Needs scope test,⚠️ Snap-on confirmed,Snap-on confirmed BLA/WH (Black/White),LOW,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv B11"
N/A,High Speed Fan (S/C F6),N/A,A/B Pink 24-pin,B12,BLU/WH,High Speed Cooling Fan Relay,Ground-side relay driver,Test fan at high coolant temp,✅ Topic 3641 + Snap-on,Flash PCM B12=High Speed Fan maps to S/C PCM F6; Snap-on confirmed BLU/WH (Blue/White); Fan relay control,HIGH,WIRING/SCOPE,"SNAPON_PINOUT_COMPLETE.csv B12; PCMHacking Topic 3641"

===============================================================================
FLASH PCM PINOUT (Topic 3641 - The1's pinouts compared.xlsx)
Source: PCMHacking.net Archive Topic 3641 + Topic 7880
===============================================================================

N/A,3-2 Solenoid (Flash A1),N/A,Flash PCM,A1,Green/White,3-2 Trans Shift Solenoid,Ground-side driver,Test trans solenoid function,✅ Topic 3641,Flash PCM A1 = S/C PCM C13/C14; Trans 3-2 downshift solenoid control,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet; Topic 7880 Rhysk94"
N/A,Shift Solenoid B (Flash A2),N/A,Flash PCM,A2,Yellow/Black,Shift Solenoid B,Ground-side driver,Test trans solenoid function,✅ Topic 3641,Flash PCM A2 = S/C PCM C3; Trans shift solenoid B control,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Ground (Flash A5),N/A,Flash PCM,A5,Black/Red,PCM Ground,0V chassis ground,Verify continuity to chassis,✅ Topic 3641,Flash PCM A5 = S/C PCM A1; Primary PCM ground,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet; Topic 7880"
N/A,MAF Sensor (Flash A7),N/A,Flash PCM,A7,Brown/White,Mass Air Flow signal,Frequency-based Hz signal,Scope during rev sweep,✅ Topic 3641,Flash PCM A7 = S/C PCM D1; MAF frequency input 2048-32471 Hz,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,VX Neutral Start Switch (Flash A8),N/A,Flash PCM,A8,Grey/Blue,Neutral Safety Switch input,Digital switch input,Test in P/N positions,✅ Topic 3641,Flash PCM A8 = S/C PCM F5; VX model neutral start switch,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,A/C Enable (Flash A9),N/A,Flash PCM,A9,Light Green/Black,A/C Request input,12V when A/C demanded,Test with A/C switch ON,✅ Topic 3641,Flash PCM A9 = S/C PCM F4; A/C enable request from HVAC,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Canister Purge A/D (Flash A10),N/A,Flash PCM,A10,Green/Yellow,EVAP Canister Purge,PWM duty cycle control,Test during warm cruise,✅ Topic 3641,Flash PCM A10 = S/C PCM C4; Canister purge solenoid control,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,TCC PWM (Flash A11),N/A,Flash PCM,A11,Brown,Torque Converter Clutch PWM,PWM duty cycle control,Test during highway cruise,✅ Topic 3641,Flash PCM A11 = S/C PCM C15/C16; TCC apply/release control,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,TCC Enable (Flash A12),N/A,Flash PCM,A12,Grey/Red,Torque Converter Clutch Enable,Digital enable signal,Test TCC engagement,✅ Topic 3641,Flash PCM A12 = S/C PCM C1; TCC enable/disable control,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Shift Solenoid A (Flash B1),N/A,Flash PCM,B1,Light Green,Shift Solenoid A,Ground-side driver,Test trans solenoid function,✅ Topic 3641,Flash PCM B1 = S/C PCM C2; Trans shift solenoid A control,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,EST Signal (Flash B3),N/A,Flash PCM,B3,White,Electronic Spark Timing,EST control to DFI,Scope for timing advance,✅ Topic 3641,Flash PCM B3 = S/C PCM D10; EST signal to DFI module pin A,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet; Snap-on H034"
N/A,Pin B DFI Bypass (Flash B4),N/A,Flash PCM,B4,Light Yellow/Black,DFI Bypass signal,EST bypass enable,Test with DFI connected,✅ Topic 3641,Flash PCM B4 = S/C PCM D9; EST bypass to DFI module pin B,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet; Snap-on H034"
N/A,Ground IAT (Flash B5),N/A,Flash PCM,B5,Black,IAT Sensor Ground,0V signal ground,Continuity to PCM grounds,✅ Topic 3641,Flash PCM B5 = S/C PCM E16; IAT sensor signal ground,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,CAM Sensor (Flash B6),N/A,Flash PCM,B6,Black,Camshaft Position Sensor,1X hall effect signal,Scope during cranking,✅ Topic 3641,Flash PCM B6 = S/C PCM D3; Cam position signal input,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,18X Crank (Flash B7),N/A,Flash PCM,B7,Light Blue/Black,18X Crank Reference,18 pulses per rev,Scope during cranking,✅ Topic 3641,Flash PCM B7 = S/C PCM D4; High-res crank reference input,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,ABS ECU to ABS Ground (Flash B8),N/A,Flash PCM,B8,Orange/White,ABS Module Interface,Ground reference,Test ABS comms,✅ Topic 3641,Flash PCM B8 = S/C PCM C11; ECU to ABS ground reference,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,REF HI (Flash B9),N/A,Flash PCM,B9,Violet,Crank Reference High,VR sensor + signal,Scope crank sensor output,✅ Topic 3641,Flash PCM B9 = S/C PCM D12; Crank sensor reference high,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,REF LO (Flash B10),N/A,Flash PCM,B10,Black/Red,Crank Reference Low,VR sensor - signal,Scope crank sensor output,✅ Topic 3641,Flash PCM B10 = S/C PCM D11; Crank sensor reference low,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,ABS to ECU Ground (Flash B11),N/A,Flash PCM,B11,Black/White,ABS Module Interface,Ground reference,Test ABS comms,✅ Topic 3641,Flash PCM B11 = S/C PCM F7; ABS to ECU ground reference,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,High Speed Fan (Flash B12),N/A,Flash PCM,B12,Blue/White,High Speed Cooling Fan,Ground-side relay driver,Test fan activation at high temp,✅ Topic 3641,Flash PCM B12 = S/C PCM F6; High speed fan relay control,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Speedo (Flash C1),N/A,Flash PCM,C1,Violet/White,Speedometer Output,Pulsed speed signal,Drive and observe speedo,✅ Topic 3641,Flash PCM C1 = S/C PCM C5; VSS output to instrument cluster,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,IAC B (Flash C2),N/A,Flash PCM,C2,Light Green/Black,IAC Coil B,PWM idle control,Scope at idle,✅ Topic 3641,Flash PCM C2 = S/C PCM C9; IAC stepper motor coil B,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,IAC D (Flash C3),N/A,Flash PCM,C3,Light Blue/Black,IAC Coil D,PWM idle control,Scope at idle,✅ Topic 3641,Flash PCM C3 = S/C PCM C8; IAC stepper motor coil D,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,IAC C (Flash C4),N/A,Flash PCM,C4,Light Blue,IAC Coil C,PWM idle control,Scope at idle,✅ Topic 3641,Flash PCM C4 = S/C PCM C7; IAC stepper motor coil C,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,IAC A (Flash C5),N/A,Flash PCM,C5,Light Green/White,IAC Coil A,PWM idle control,Scope at idle,✅ Topic 3641,Flash PCM C5 = S/C PCM C10; IAC stepper motor coil A,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Ground TPS Coolant (Flash C6),N/A,Flash PCM,C6,Black/Yellow,Sensor Ground A/C-TPS-Coolant,0V signal ground,Continuity to chassis,✅ Topic 3641,Flash PCM C6 = S/C PCM F16; Shared sensor ground reference,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,TPS A/D (Flash C7),N/A,Flash PCM,C7,Blue,Throttle Position Sensor,0.5-4.5V analog,Sweep throttle slowly,✅ Topic 3641,Flash PCM C7 = S/C PCM B11; TPS analog voltage input,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,RH O2+ (Flash C9),N/A,Flash PCM,C9,Grey,Right Bank O2 Sensor +,0.1-0.9V narrowband,Monitor in closed loop,✅ Topic 3641,Flash PCM C9 = S/C PCM D13; Right bank O2 sensor positive,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,LH Knock Sensor (Flash C10),N/A,Flash PCM,C10,Blue,Left Bank Knock Sensor,AC piezo spike,Tap engine block test,✅ Topic 3641,Flash PCM C10 separate from RH; S/C uses combined C12,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,RH Knock Sensor (Flash C11),N/A,Flash PCM,C11,Light Blue,Right Bank Knock Sensor,AC piezo spike,Tap engine block test,✅ Topic 3641,Flash PCM C11 separate from LH; S/C uses combined C12,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,12V Battery Input (Flash C12),N/A,Flash PCM,C12,Orange,Constant 12V Battery,12V unswitched,Verify 12V at all times,✅ Topic 3641,Flash PCM C12 = S/C PCM A8; Constant battery power input,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet; Topic 7880"
N/A,Serial Data ALDL (Flash C13),N/A,Flash PCM,C13,Red/Black,ALDL Serial Data,8192 baud UART,Connect scan tool,✅ Topic 3641/7880,Flash PCM C13 = S/C PCM A3; CRITICAL bench flash pin,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641; Topic 7880 Rhysk94 bench harness"
N/A,Injector Voltage Monitor (Flash C14),N/A,Flash PCM,C14,Red,Injector Supply Monitor,12V reference,Test with multimeter,✅ Topic 3641,Flash PCM C14 = S/C PCM B12; Monitors injector supply voltage,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,5V Out A/C TPS (Flash C15),N/A,Flash PCM,C15,Grey,5V Reference Output,5.0V DC reference,Verify 5V at sensors,✅ Topic 3641,Flash PCM C15 = S/C PCM B7; 5V reference for A/C pressure + TPS,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Speed Sensor LO (Flash D1),N/A,Flash PCM,D1,Blue,VSS Signal Low,Speed signal -,Scope during driving,✅ Topic 3641,Flash PCM D1 = S/C PCM D5; VSS differential low signal,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Speed Sensor HI (Flash D2),N/A,Flash PCM,D2,Brown,VSS Signal High,Speed signal +,Scope during driving,✅ Topic 3641,Flash PCM D2 = S/C PCM C6; VSS differential high signal,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,LH O2- (Flash D3),N/A,Flash PCM,D3,Blue/Black,Left Bank O2 Sensor -,0V ground return,Continuity to sensor,✅ Topic 3641,Flash PCM D3 = S/C PCM D16; Left bank O2 sensor ground,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,LH O2+ (Flash D4),N/A,Flash PCM,D4,Violet,Left Bank O2 Sensor +,0.1-0.9V narrowband,Monitor in closed loop,✅ Topic 3641,Flash PCM D4 = S/C PCM D15; Left bank O2 sensor positive,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,RH O2- (Flash D5),N/A,Flash PCM,D5,Grey/Blue,Right Bank O2 Sensor -,0V ground return,Continuity to sensor,✅ Topic 3641,Flash PCM D5 = S/C PCM D14; Right bank O2 sensor ground,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Ground (Flash D6),N/A,Flash PCM,D6,Black/Red,PCM Ground,0V chassis ground,Verify continuity to chassis,✅ Topic 3641/7880,Flash PCM D6 CRITICAL bench harness pin; primary ground,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641; Topic 7880 Rhysk94 bench harness"
N/A,IAT Temp A/D (Flash D7),N/A,Flash PCM,D7,Brown,Intake Air Temp Sensor,5V pullup thermistor,Test resistance cold/hot,✅ Topic 3641,Flash PCM D7 = S/C PCM B4; IAT analog voltage input,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Ground Serial Data (Flash D9),N/A,Flash PCM,D9,White/Black,ALDL Signal Ground,0V ALDL reference,Continuity to pin 5,✅ Topic 3641,Flash PCM D9 = S/C PCM F14; ALDL communication ground,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,A/C Pressure A/D (Flash D10),N/A,Flash PCM,D10,Green/Black,A/C Pressure Sensor,0-5V pressure analog,Test with A/C running,✅ Topic 3641,Flash PCM D10 = S/C PCM B3; A/C pressure sensor input,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Coolant A/D (Flash D11),N/A,Flash PCM,D11,Yellow,Engine Coolant Temp Sensor,5V pullup thermistor,Test resistance cold/hot,✅ Topic 3641,Flash PCM D11 = S/C PCM B5; CTS analog voltage input,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,12V Battery Input (Flash D12),N/A,Flash PCM,D12,Orange,Constant 12V Battery,12V unswitched,Verify 12V at all times,✅ Topic 3641/7880,Flash PCM D12 = S/C PCM B8; Second constant power input,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641; Topic 7880 Rhysk94 bench harness"
N/A,Trans Temp A/D (Flash D13),N/A,Flash PCM,D13,Black/Yellow,Trans Fluid Temp Sensor,5V pullup thermistor,Test resistance cold/hot,✅ Topic 3641,Flash PCM D13 = S/C PCM B6; Trans temp analog voltage input,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,IGN 12V Switched (Flash D16),N/A,Flash PCM,D16,Pink,Ignition Switched 12V,12V when IGN ON,Test with multimeter key ON,✅ Topic 3641/7880,Flash PCM D16 CRITICAL bench harness pin; ignition power,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641; Topic 7880 Rhysk94 bench harness"
N/A,Injector 2 (Flash E2),N/A,Flash PCM,E2,Green,Fuel Injector #2 Driver,Ground-side PWM,Scope injector pulse,✅ Topic 3641,Flash PCM E2 = S/C PCM E3; Cylinder 2 injector driver,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Injector 1 (Flash E4),N/A,Flash PCM,E4,Blue,Fuel Injector #1 Driver,Ground-side PWM,Scope injector pulse,✅ Topic 3641,Flash PCM E4 = S/C PCM F2; Cylinder 1 injector driver,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Injector 5 (Flash E5),N/A,Flash PCM,E5,Grey,Fuel Injector #5 Driver,Ground-side PWM,Scope injector pulse,✅ Topic 3641,Flash PCM E5 = S/C PCM E4; Cylinder 5 injector driver,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Injector 6 (Flash E6),N/A,Flash PCM,E6,Yellow,Fuel Injector #6 Driver,Ground-side PWM,Scope injector pulse,✅ Topic 3641,Flash PCM E6 = S/C PCM F3; Cylinder 6 injector driver,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Ground (Flash E7),N/A,Flash PCM,E7,Black/Red,PCM Ground,0V chassis ground,Verify continuity to chassis,✅ Topic 3641,Flash PCM E7 = S/C PCM B1; Additional PCM ground,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Pressure Control Sol C (Flash E9),N/A,Flash PCM,E9,Red,Trans Pressure Control Sol C,PWM trans pressure,Test trans line pressure,✅ Topic 3641,Flash PCM E9 = S/C PCM E15; Trans pressure solenoid C,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,IGN Fuel Pump (Flash E10),N/A,Flash PCM,E10,Green/White,Fuel Pump Relay Control,Ground-side driver,Test pump prime 2-sec KOEO,✅ Topic 3641,Flash PCM E10 = S/C PCM A6; Fuel pump relay driver,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Pressure Control Sol D (Flash E13),N/A,Flash PCM,E13,Grey/Blue,Trans Pressure Control Sol D,PWM trans pressure,Test trans line pressure,✅ Topic 3641,Flash PCM E13 = S/C PCM E14; Trans pressure solenoid D,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Injector 3 (Flash F1),N/A,Flash PCM,F1,Violet,Fuel Injector #3 Driver,Ground-side PWM,Scope injector pulse,✅ Topic 3641,Flash PCM F1 = S/C PCM E2; Cylinder 3 injector driver,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Injector 4 (Flash F2),N/A,Flash PCM,F2,Brown/Yellow,Fuel Injector #4 Driver,Ground-side PWM,Scope injector pulse,✅ Topic 3641,Flash PCM F2 = S/C PCM F1; Cylinder 4 injector driver,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,PRNDL Switch A (Flash F3),N/A,Flash PCM,F3,Blue/White,Trans Range Switch A,Digital switch input,Test in each gear position,✅ Topic 3641,Flash PCM F3 = S/C PCM E6; PRNDL position input A,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,PRNDL Switch C (Flash F6),N/A,Flash PCM,F6,White,Trans Range Switch C,Digital switch input,Test in each gear position,✅ Topic 3641,Flash PCM F6 = S/C PCM F15; PRNDL position input C,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Ground (Flash F7),N/A,Flash PCM,F7,Black/Red,PCM Ground,0V chassis ground,Verify continuity to chassis,✅ Topic 3641,Flash PCM F7 = S/C PCM B2; Additional PCM ground,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,PRNDL Switch D (Flash F8),N/A,Flash PCM,F8,Yellow,Trans Range Switch D,Digital switch input,Test in each gear position,✅ Topic 3641,Flash PCM F8 = S/C PCM E7; PRNDL position input D,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,PRNDL Switch B (Flash F9),N/A,Flash PCM,F9,Grey,Trans Range Switch B,Digital switch input,Test in each gear position,✅ Topic 3641,Flash PCM F9 = S/C PCM E8; PRNDL position input B,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Pressure Switch A (Flash F11),N/A,Flash PCM,F11,Brown/Yellow,Trans Pressure Switch A,Digital switch input,Test trans pressure,✅ Topic 3641,Flash PCM F11 = S/C PCM F9; Trans pressure switch A,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Pressure Switch B (Flash F12),N/A,Flash PCM,F12,Yellow,Trans Pressure Switch B,Digital switch input,Test trans pressure,✅ Topic 3641,Flash PCM F12 = S/C PCM F10; Trans pressure switch B,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Pressure Switch C (Flash F13),N/A,Flash PCM,F13,Grey,Trans Pressure Switch C,Digital switch input,Test trans pressure,✅ Topic 3641,Flash PCM F13 = S/C PCM F11; Trans pressure switch C,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
N/A,Power/Eco Switch (Flash F14),N/A,Flash PCM,F14,Blue,Power/Economy Mode Switch,Momentary input,Press shift button,✅ Topic 3641,Flash PCM F14 = S/C PCM F12; Shift pattern toggle input,HIGH,WIRING/SCOPE,"PCMHacking Topic 3641 The1 pinout spreadsheet"
